Name	Metadata Type	Id	Url	Used by	Attributes
"SRM_Jira_Ticket__c.CRM_Sprint__c"	"CustomField"	"00N3h00000DDY3LEAX"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/00N3h00000DDY3LEAX"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtensionTests"
"SRM_Connected_Org__c.Named_Credential_Reference__c"	"CustomField"	"00N3h00000DDY3SEAX"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/00N3h00000DDY3SEAX"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtensionTests"
"SRM_Jira_Ticket__c.Connected_Org__c"	"CustomField"	"00N3h00000DDY3cEAH"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/00N3h00000DDY3cEAH"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtensionTests"
"SRM_CRM_Sprint__c"	"CustomObject"	"01I3h000000fkQaEAI"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/01I3h000000fkQaEAI"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtensionTests"
"SRM_Connected_Org__c"	"CustomObject"	"01I3h000000fkQbEAI"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/01I3h000000fkQbEAI"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtensionTests"
"SRM_Jira_Ticket__c"	"CustomObject"	"01I3h000000fkQdEAI"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/01I3h000000fkQdEAI"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtensionTests"
"SRM_MetadataApiMocks"	"ApexClass"	"01p3h00000E1kisAAB"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/01p3h00000E1kisAAB"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtensionTests"
"SRM_SelectMetadataExtension"	"ApexClass"	"01p3h00000E1kj3AAB"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/01p3h00000E1kj3AAB"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtensionTests"
"SRM_TestData"	"ApexClass"	"01p3h00000E1kj5AAB"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/01p3h00000E1kj5AAB"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtensionTests"
"SRM_MetadataAPI"	"ApexClass"	"01p3h00000E1kirAAB"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/01p3h00000E1kirAAB"	"SRM_SelectMetadataExtensionTests via SRM_MetadataApiMocks"
"SRM_Jira_Ticket__c.CRM_Sprint__c"	"CustomField"	"00N3h00000DDY3LEAX"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/00N3h00000DDY3LEAX"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtension"
"SRM_Connected_Org__c.Named_Credential_Reference__c"	"CustomField"	"00N3h00000DDY3SEAX"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/00N3h00000DDY3SEAX"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtension"
"SRM_Jira_Ticket__c.Connected_Org__c"	"CustomField"	"00N3h00000DDY3cEAH"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/00N3h00000DDY3cEAH"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtension"
"SRM_CRM_Sprint__c"	"CustomObject"	"01I3h000000fkQaEAI"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/01I3h000000fkQaEAI"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtension"
"SRM_Connected_Org__c"	"CustomObject"	"01I3h000000fkQbEAI"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/01I3h000000fkQbEAI"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtension"
"SRM_Jira_Ticket__c"	"CustomObject"	"01I3h000000fkQdEAI"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/01I3h000000fkQdEAI"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtension"
"SRM_MetadataApiProxy"	"ApexClass"	"01p3h00000E1kitAAB"	"https://brave-raccoon-mm7crl-dev-ed.my.salesforce.com/01p3h00000E1kitAAB"	"SRM_SelectMetadataExtensionTests via SRM_SelectMetadataExtension"
